Team,Region,Seed,Elo
Connecticut,Albany,1,2153
St. Francis,Albany,16,1615
Miami,Albany,8,1802
Quinnipiac,Albany,9,1819
Duke,Albany,5,1831
Belmont,Albany,12,1825
Georgia,Albany,4,1839
Mercer,Albany,13,1841
South Florida,Albany,6,1873
Buffalo,Albany,11,1818
Florida State,Albany,3,1911
Little Rock,Albany,14,1729
California,Albany,7,1763
Virginia,Albany,10,1763
South Carolina,Albany,2,2008
NC A&T,Albany,15,1606
Notre Dame,Spokane,1,2078
Cal State Northridge,Spokane,16,1539
South Dakota State,Spokane,8,1796
Villanova,Spokane,9,1726
DePaul,Spokane,5,1889
Oklahoma,Spokane,12,1725
Texas A&M,Spokane,4,1853
Drake,Spokane,13,1778
LSU,Spokane,6,1775
Central Michigan,Spokane,11,1883
Ohio State,Spokane,3,1930
George Washington,Spokane,14,1694
Green Bay,Spokane,7,1864
Minnesota,Spokane,10,1777
Oregon,Spokane,2,2007
Seattle,Spokane,15,1493
Mississippi State,Kansas City,1,2068
Nicholls State,Kansas City,16,1535
Syracuse,Kansas City,8,1766
Oklahoma State,Kansas City,9,1714
Maryland,Kansas City,5,1864
Princeton,Kansas City,12,1796
NC State,Kansas City,4,1852
Elon,Kansas City,13,1799
Iowa,Kansas City,6,1802
Creighton,Kansas City,11,1700
UCLA,Kansas City,3,1897
American,Kansas City,14,1692
Arizona State,Kansas City,7,1747
Nebraska,Kansas City,10,1729
Texas,Kansas City,2,1929
Maine,Kansas City,15,1698
Louisville,Lexington,1,2067
Boise State,Lexington,16,1712
Marquette,Lexington,8,1814
Dayton,Lexington,9,1766
Missouri,Lexington,5,1827
Florida Gulf Coast,Lexington,12,1802
Stanford,Lexington,4,1894
Gonzaga,Lexington,13,1816
Oregon State,Lexington,6,1879
Western Kentucky,Lexington,11,1727
Tennessee,Lexington,3,1855
Liberty,Lexington,14,1638
Michigan,Lexington,7,1749
Northern Colorado,Lexington,10,1742
Baylor,Lexington,2,2084
Grambling State,Lexington,15,1506
