Game,Team 1,Team 2,Winner goes to
1,Connecticut,St. Francis,33
2,Miami,Quinnipiac,33
3,Duke,Belmont,34
4,Georgia,Mercer,34
5,South Florida,Buffalo,35
6,Florida State,Little Rock,35
7,California,Virginia,36
8,South Carolina,NC A&T,36
9,Notre Dame,Cal State Northridge,37
10,South Dakota State,Villanova,37
11,DePaul,Oklahoma,38
12,Texas A&M,Drake,38
13,LSU,Central Michigan,39
14,Ohio State,George Washington,39
15,Green Bay,Minnesota,40
16,Oregon,Seattle,40
17,Mississippi State,Nicholls State,41
18,Syracuse,Oklahoma State,41
19,Maryland,Princeton,42
20,NC State,Elon,42
21,Iowa,Creighton,43
22,UCLA,American,43
23,Arizona State,Nebraska,44
24,Texas,Maine,44
25,Louisville,Boise State,45
26,Marquette,Dayton,45
27,Missouri,Florida Gulf Coast,46
28,Stanford,Gonzaga,46
29,Oregon State,Western Kentucky,47
30,Tennessee,Liberty,47
31,Michigan,Northern Colorado,48
32,Baylor,Grambling State,48
33,,,49
34,,,49
35,,,50
36,,,50
37,,,51
38,,,51
39,,,52
40,,,52
41,,,53
42,,,53
43,,,54
44,,,54
45,,,55
46,,,55
47,,,56
48,,,56
49,,,57
50,,,57
51,,,58
52,,,58
53,,,59
54,,,59
55,,,60
56,,,60
57,,,61
58,,,61
59,,,62
60,,,62
61,,,63
62,,,63
63,,,-1
